OBJECTID,TENCODE,ADDRESS,OWNER1,OWNER2,BLDG_CODE,BLDG_DESC,BRT_ID,GROSS_AREA,YEAR,SEASON,VL_NUM,NUMPARCELS,SQ_FT,TREES_NUM,TARGETAREA,GROUP_,GRID,CCD,CCD_PERSON,ADDR_RANGE,ZIPCODE,Shape__Area,Shape__Length
997,3342001436,1436 S FALLON ST,JONES DELORES, ,SR,VAC LAND RES < ACRE,273038600,686,2008,Fall,VL1504SW,24,19821,8,Southwest Philadelphia,,339,3,Jannie L. Blackwell,"1422-1440 S FALLON STREET; 
1423-1445 S HANSON STREET; 
4825-4827 PASCHALL AVEN*",19143,720.533996582031,127.461829150261
998,8318002603,2603 WILDER ST,CHARLES A NOVELLI,DIANE,SR,VAC LAND RES < ACRE,364232200,672,2004,Spring,VL0450SP,5,2937,0,South Philadelphia,,349,2,Kenyatta Johnson,"2601-2605 WILDER ST; 2600 GERRITT ST",19146,693.115905761719,125.542238675634
999,4042001235,1235 HANSON ST,CITY OF PHILA, ,SR,VAC LAND RES < ACRE,273039710,885,2013,Spring,VL2263SW,3,4152,3,Southwest Philadelphia,,339,3,Jannie L. Blackwell,1231-1235 HANSON STREET,19143,841.994506835938,148.708278930661
1000,6318004925,4925 PASCHALL AVE,INVESTMENT PROPERTIES LLC, ,SR,VAC LAND RES < ACRE,273169700,934,2008,Fall,VL1500SW,5,7885,4,Southwest Philadelphia,,347,3,Jannie L. Blackwell,4919-4927 PASCHALL AVENUE,19143,934.405029296875,175.691094948937
1001,3976005810,5810 HADFIELD ST,LEE DAVID 3RD, ,O30,ROW 2 STY MASONRY,034052400,1530,2015,Fall,VL3136SW_CLP,1,1495,0,SOUTHWEST,,338,3,Jannie L. Blackwell,5810 HADFIELD ST,19143,1529.13000488281,232.73908027154
1002,3172000605,605 EMILY ST,PHILA HOUSING AUTHORITY, ,SR,VAC LAND RES < ACRE,393032110,630,2015,Fall,VL3085SP_CLP,6,5671,0,SOUTH PHILADELPHIA,,367,1,Mark Squilla,605-15 EMILY ST,19148,612.246032714844,117.319089072212
1003,4042001233,1233 HANSON ST,CITY OF PHILA,DEPT OF PUBLIC PROPERTY,SR,VAC LAND RES < ACRE,273039610,676,2013,Spring,VL2263SW,3,4152,3,Southwest Philadelphia,,339,3,Jannie L. Blackwell,1231-1235 HANSON STREET,19143,676.174743652344,129.418611998437
1004,8448005735,5735 WOODLAND AVE,TANG TRINH, ,SC,VAC LAND COMM. < ACRE,401135400,1312,2007,Spring,VL1102SP,3,4167,2,Southwest Philadelphia,,354,2,Kenyatta Johnson,5733-5737 WOODLAND AVENUE,19143,1299.03118896484,195.588133253153
1005,6318004825,4825 PASCHALL AVE,CITY OF PHILA,DEPT OF PUBLIC PROP R E,SR,VAC LAND RES < ACRE,273167710,1106,2008,Fall,VL1504SW,24,19821,8,Southwest Philadelphia,,339,3,Jannie L. Blackwell,"1422-1440 S FALLON STREET; 
1423-1445 S HANSON STREET; 
4825-4827 PASCHALL AVEN*",19143,1129.70825195313,187.108533621608
1006,5724001945,1945 MOUNTAIN ST,PB HOLDINGS LLC, ,SR,VAC LAND RES < ACRE,363098700,622,2004,Spring,VL0307SP,3,3275,3,South Philadelphia,,357,2,Kenyatta Johnson,"1623-1625 S 20TH STREET; 1945 MOUNTAIN STREET",19145,622.359741210938,119.875722714132
1007,4042001445,1445 HANSON ST,MAJOR TILLERY, ,SR,VAC LAND RES < ACRE,273043400,700,2008,Fall,VL1504SW,24,19821,8,Southwest Philadelphia,,339,3,Jannie L. Blackwell,"1422-1440 S FALLON STREET; 
1423-1445 S HANSON STREET; 
4825-4827 PASCHALL AVEN*",19143,692.931884765625,126.685460791209
1008,6846001545,1545 S RINGGOLD ST,CITY OF PHILA,DEPT PUB PROP,SR,VAC LAND RES < ACRE,364154815,751,2008,Fall,VL1490SP,1,1458,1,South Philadelphia,,349,2,Kenyatta Johnson,1545 S RINGGOLD ST,19146,751.273559570313,130.707906802816
1009,3342001428,1428 S FALLON ST,CHARLES J POWELL, ,SR,VAC LAND RES < ACRE,273038200,686,2008,Fall,VL1504SW,24,19821,8,Southwest Philadelphia,,339,3,Jannie L. Blackwell,"1422-1440 S FALLON STREET; 
1423-1445 S HANSON STREET; 
4825-4827 PASCHALL AVEN*",19143,676.709655761719,125.333800773877
1010,3140002632,2632 ELLSWORTH ST,CITY OF PHILA,DEPT OF PUBLC PROP,SR,VAC LAND RES < ACRE,362004505,546,2004,Spring,VL0302SP,8,5543,7,South Philadelphia,,341,2,Kenyatta Johnson,"2632-2634 ELLSWORTH STREET; 2631-2639 ANNIN STREET",19146,535.20166015625,104.631563072315
1011,7746003000,3000 TITAN ST,CITY OF PHILADELPHIA, ,SR,VAC LAND RES < ACRE,362209000,587,2004,Spring,VL0447SP,3,2455,0,Southwest Philadelphia,,348,2,Kenyatta Johnson,"3001-3003 WHARTON STREET; 3000 TITAN STREET",19146,587.422180175781,107.199230755549
1012,8274002906,2906 WHARTON ST,PICCOLO RONALD V, ,SR,VAC LAND RES < ACRE,362088000,992,2003,Spring,VL0166SP,8,8802,0,Southwest Philadelphia,,348,2,Kenyatta Johnson,"2900-2912 WHARTON STREET; 1309 HOLLYWOOD STREET",19146,980.483520507813,154.194643591897
1013,8274002908,2908 WHARTON ST,REDEVELOPMENT AUTHORITY,OF PHILADELPHIA,SR,VAC LAND RES < ACRE,362088110,844,2003,Spring,VL0166SP,8,8802,0,Southwest Philadelphia,,348,2,Kenyatta Johnson,"2900-2912 WHARTON STREET; 1309 HOLLYWOOD STREET",19146,844.566162109375,149.727169571311
1014,7896006068,6068 UPLAND ST,HARDEN PRINCE R, ,SR,VAC LAND RES < ACRE,401301300,841,2007,Spring,VL0978SP,4,3306,2,Southwest Philadelphia,,354,2,Kenyatta Johnson,6062-6068 UPLAND STREET,19142,874.436157226563,146.995695225551
1015,8832001400,1400 N 27TH ST,BARRISH LLOYD, ,SR,VAC LAND RES < ACRE,292059600,691,2006,Fall,VL0884BR-A,1,820,1,North Central,,290,5,Darrell L. Clarke,1400 N 27TH STREET,19121,689.740844726563,112.110973682469
1016,6770001921,1921 S REDFIELD ST,CITY OF PHILA,DEPT OF PUBLIC PROP,SR,VAC LAND RES < ACRE,401061601,868,2013,Fall,VL2626SW,4,5504,4,Southwest Philadelphia,,346,2,Kenyatta Johnson,1915-1921 S REDFIELD STREET,19143,864.365112304688,152.393420000085
1017,1940003715,3715 BROWN ST,REDEVELOPMENT AUTHORITY,OF PHILA,SR,VAC LAND RES < ACRE,243117100,1384,2002,Spring,VL0079,40,58446,30,West Philadelphia,,303,3,Jannie L. Blackwell,"3701-3737 BROWN STREET; 3700-3706, 
3720-3726 MANTUA AVENUE; 811-813 N 38TH STR*",19104,1439.91754150391,208.097230872589
1018,5752003619,3619 MOUNT VERNON ST,PHILA REDEVELOPMENT AUTH, ,SR,VAC LAND RES < ACRE,242075200,1224,2016,Spring,VL0985WP_CLP_R,25,20416,0,WEST PHILADELPHIA,,315,3,Jannie L. Blackwell,"627-643 N 37TH ST; 3610-3626 WALLACE ST; 3611-27 MOUNT VERNON ST",19104,1185.47344970703,174.223665511954
1019,1940003724,3724 BROWN ST,REDEVELOPMENT AUTHORITY,OF PHILA,SR,VAC LAND RES < ACRE,243064110,975,2006,Spring,VL0849WP,14,19507,12,West Philadelphia,,303,3,Jannie L. Blackwell,"777-785 N 38TH STREET; 770-774 N DEKALB STREET; 
3716-3726 BROWN STREET",19104,1020.90454101563,162.810745456398
1020,3458003927,3927 FOLSOM ST,CITY OF PHILA,DEPT PUB PROP,SR,VAC LAND RES < ACRE,243061610,1022,2016,Spring,VL1146WP_CLP_R,16,20976,0,WEST PHILADELPHIA,,315,3,Jannie L. Blackwell,"3910-36 BROWN ST; 3925-3927 FOLSOM ST",19104,1039.73406982422,174.872981515133
1021,2276005707,5707 CHESTER AVE,NELSON SHARNETTA N, ,SR,VAC LAND COMM. < ACRE,401111700,1800,2006,Fall,VL0999WP,2,3680,1,Southwest Philadelphia,,346,2,Kenyatta Johnson,5707-5709 CHESTER AVENUE,19143,1853.89166259766,219.946258804164
1022,1940003725,3725 BROWN ST,REDEVELOPMENT AUTHORITY,OF PHILA,SR,VAC LAND RES < ACRE,243117600,1388,2002,Spring,VL0079,40,58446,30,West Philadelphia,,303,3,Jannie L. Blackwell,"3701-3737 BROWN STREET; 3700-3706, 
3720-3726 MANTUA AVENUE; 811-813 N 38TH STR*",19104,1399.61224365234,207.11782838929
1023,3328003609,3609 FAIRMOUNT AVE,BULLOCK WILLIAM, ,SR,VAC LAND RES < ACRE,243009100,1409,2012,Fall,VL2109WP-F,1,1680,0,West Philadelphia,,315,3,Jannie L. Blackwell,3609 FAIRMOUNT AVENUE,19104,1396.54498291016,208.453009846389
1024,6794006131,6131 REINHARD ST,RODAN MANAGEMENT INC, ,SR,VAC LAND RES < ACRE,401276200,910,2002,Spring,VL0059WP,18,14640,15,Southwest Philadelphia,,354,2,Kenyatta Johnson,"6111-6115, 6127-6135, 6132-6146 REINHARD STREET; 
2018-2020 S 61ST STREET",19142,875.886047363281,155.538242344813
1025,5330003704,3704 MANTUA AVE,REDEVELOPMENT AUTHORITY,OF PHILA,SR,VAC LAND RES < ACRE,243004610,957,2002,Spring,VL0079,40,58446,30,West Philadelphia,,303,3,Jannie L. Blackwell,"3701-3737 BROWN STREET; 3700-3706, 
3720-3726 MANTUA AVENUE; 811-813 N 38TH STR*",19104,976.481201171875,150.92383071414
1026,4124003735,3735 HAVERFORD AVE,REDEVELOPMENT AUTHORITY,OF PHILA,SR,VAC LAND RES < ACRE,242049700,1749,2002,Spring,VL0057,13,15444,10,West Philadelphia,,315,3,Jannie L. Blackwell,3719-3737 HAVERFORD AVENUE,19104,1749.11010742188,185.017820223318
1027,7896006034,6034 UPLAND ST,BRENDA WILLIAMS S/W, ,SR,VAC LAND RES < ACRE,401299600,841,2006,Fall,VL0973SP,3,2562,1,Southwest Philadelphia,,354,2,Kenyatta Johnson,6032-6036 UPLAND STREET,19142,831.519226074219,145.795125002061
1028,5330003702,3702 MANTUA AVE,REDEVELOPMENT AUTHORITY,OF PHILA,SR,VAC LAND RES < ACRE,243004510,1211,2002,Spring,VL0079,40,58446,30,West Philadelphia,,303,3,Jannie L. Blackwell,"3701-3737 BROWN STREET; 3700-3706, 
3720-3726 MANTUA AVENUE; 811-813 N 38TH STR*",19104,1211.97723388672,147.37190170311
1029,7896006163,6163 UPLAND ST,WILHITE PAUL A, ,SR,VAC LAND RES < ACRE,401293900,868,2007,Fall,VL1253SP,3,2488,1,Southwest Philadelphia,,354,2,Kenyatta Johnson,6159-6163 UPLAND STREET,19142,842.454650878906,151.78686097226
1030,8856000672,672 N 39TH ST,WILSON GREGORY A,WILSON JOSEPHINE,O50,VAC LAND RES < ACRE,242232310,1402,2010,Spring,VL1748WP,2,2724,3,West Philadelphia,,315,3,Jannie L. Blackwell,672-676 N 39TH STREET,19104,1452.34173583984,200.714084637204
1031,8902001942,1942 S 60TH ST,CITY OF PHILA, ,SR,VAC LAND RES < ACRE,401140401,952,2007,Fall,VL1227SP,5,3250,3,Southwest Philadelphia,,354,2,Kenyatta Johnson,1934-1942 S 60TH STREET,19142,953.867614746094,151.787829325746
1032,8852000617,617 N 37TH ST,PHILA REDEVELOPMENT AUTH, ,SR,VAC LAND RES < ACRE,242175900,545,2004,Spring,VL0340WP,15,10829,6,West Philadelphia,,315,3,Jannie L. Blackwell,"3623-3637 HAVERFORD AVENUE; 613-625 N 37TH STREET",19104,545.828796386719,109.947424400635
1033,7896006090,6090 UPLAND ST,SUMMERVILLE ROBERT,SUMMERVILLE MARIETA V,SR,VAC LAND RES < ACRE,401302400,930,2007,Spring,VL0982SP,3,2908,3,Southwest Philadelphia,,354,2,Kenyatta Johnson,6086-6090 UPLAND STREET,19142,930.523132324219,149.600091090402
1034,8856000719,719 N 39TH ST,WPRE III L P, ,SR,VAC LAND RES < ACRE,243100610,1312,2010,Spring,Vl1751WP,4,5312,4,West Philadelphia,,315,3,Jannie L. Blackwell,719-725 N 39TH STREET,19104,1294.27520751953,195.13711285355
1035,5752003613,3613 MOUNT VERNON ST,PHILA REDEVELOPMENT AUTH, ,SR,VAC LAND RES < ACRE,242074910,840,2016,Spring,VL0985WP_CLP_R,25,20416,0,WEST PHILADELPHIA,,315,3,Jannie L. Blackwell,"627-643 N 37TH ST; 3610-3626 WALLACE ST; 3611-27 MOUNT VERNON ST",19104,829.784057617188,160.037023587396
1036,5532003826,3826 MELON ST,DALTON ANNETTA, ,SR,VAC LAND RES < ACRE,242109500,900,2012,Fall,VL2104WP-F,1,868,0,West Philadelphia,,315,3,Jannie L. Blackwell,3826 MELON STREET,19104,939.795776367188,150.483566144867
1037,8104003825,3825 WALLACE ST,JOHNSON LORENZO W, ,SR,VAC LAND RES < ACRE,242101000,1410,2012,Fall,VL2094WP-F,2,2460,1,West Philadelphia,,315,3,Jannie L. Blackwell,3823-3825 WALLACE STREET,19104,1393.40753173828,217.242422617545
1038,8852000615,615 N 37TH ST,PHILA REDEVELOPMENT AUTH, ,SR,VAC LAND RES < ACRE,242175810,520,2004,Spring,VL0340WP,15,10829,6,West Philadelphia,,315,3,Jannie L. Blackwell,"3623-3637 HAVERFORD AVENUE; 613-625 N 37TH STREET",19104,520.765869140625,108.836648133373
1039,7886000811,811 UNION ST,REDEVELOPMENT AUTHORITY,OF PHILADELPHIA,SR,VAC LAND RES < ACRE,243152510,1353,2016,Spring,VL3303WP_CLP,5,6688,0,WEST PHILADELPHIA,,303,3,Jannie L. Blackwell,811-19 UNION ST,19104,1340.90734863281,205.07216423688
1040,8854000822,822 N 38TH ST,REDEVELOPMENT AUTHORITY,OF PHILA,SR,VAC LAND RES < ACRE,243149000,1266,2006,Spring,VL0851WP,4,5895,5,West Philadelphia,,303,3,Jannie L. Blackwell,"820-822 N 38TH STREET; 3803-3805 RENO STREET",19104,1310.68603515625,193.44390435158
1041,3328003903,3903 FAIRMOUNT AVE,COMMONWEALTH IMPROVEMENT, ,SR,VAC LAND RES < ACRE,243015100,1440,2010,Spring,VL1749WP,5,9120,4,West Philadelphia,,315,3,Jannie L. Blackwell,3901-3909 FAIRMOUNT AVENUE,19104,1370.16119384766,216.681664725995
1042,6786006042,6042 REGENT ST,EMMANUEL N OKAI, ,SR,VAC LAND RES < ACRE,401236100,912,2007,Fall,VL1236SP,1,1920,2,Southwest Philadelphia,,354,2,Kenyatta Johnson,6042 REGENT STREET,19142,931.552551269531,147.581811787342
1043,8850000623,623 N 36TH ST,SHRAIM RAMY, ,SR,VAC LAND RES < ACRE,242168200,1131,2006,Fall,VL0991WP,3,2865,3,West Philadelphia,,315,3,Jannie L. Blackwell,623-627 N 36TH STREET,19104,1131.8525390625,162.698608770152
1044,6794006124,6124 REINHARD ST,CARROLL DENNIS J, ,SR,VAC LAND RES < ACRE,401283900,868,2002,Spring,VL0059WP,18,14640,15,Southwest Philadelphia,,354,2,Kenyatta Johnson,"6111-6115, 6127-6135, 6132-6146 REINHARD STREET; 
2018-2020 S 61ST STREET",19142,876.117919921875,152.44877974429
1045,8854000740,740 N 38TH ST,CITY OF PHILADELPHIA, ,SR,VAC LAND RES < ACRE,243097400,1224,2006,Spring,VL0844WP,1,1151,2,West Philadelphia,,315,3,Jannie L. Blackwell,740 N 38TH STREET,19104,1232.06854248047,178.59201117245
1046,1380003910,3910 ASPEN ST,AHM PROPERTIES LLC, ,O50,ROW 3 STY MASONRY,243038500,1440,2016,Spring,VL3306WP_CLP,12,18515,0,WEST PHILADELPHIA,,315,3,Jannie L. Blackwell,3908-26 ASPEN ST,19104,1455.06341552734,214.298114884467
1047,8856000737,737 N 39TH ST,WPRE V LP, ,SR,VAC LAND RES < ACRE,243101500,1312,2007,Fall,VL1276WP,7,10457,5,West Philadelphia,,315,3,Jannie L. Blackwell,"3860-3868 ASPEN STREET; 731-737 N 39TH STREET",19104,1353.54583740234,196.742469291905
1048,7896006081,6081 UPLAND ST,MCMILLAN JOSEPH L, ,SR,VAC LAND RES < ACRE,401290700,960,2007,Spring,VL0981SP,2,1736,1,Southwest Philadelphia,,354,2,Kenyatta Johnson,6080-6082 UPLAND STREET,19142,927.780395507813,151.369760910339
1049,8856000839,839 N 39TH ST,CITY OF PHILA,REAL ESTATE DIVISION,SC,VAC LAND COMM. < ACRE,243151710,1083,2014,Spring,VL2725WP,2,2175,0,West Philadelphia,,303,3,Jannie L. Blackwell,837-839 N 39th Street,19104,1088.41564941406,170.814182816416
1050,8852000639,639 N 37TH ST,PHILA REDEVELOPMENT AUTH, ,H30,SEMI DET 2 STY MASONRY,242176900,1277,2016,Spring,VL0985WP_CLP_R,25,20416,0,WEST PHILADELPHIA,,315,3,Jannie L. Blackwell,"627-643 N 37TH ST; 3610-3626 WALLACE ST; 3611-27 MOUNT VERNON ST",19104,1277.83752441406,188.744546624433
1051,8856000709,709 N 39TH ST,WPRE V LP, ,SR,VAC LAND RES < ACRE,243100100,1394,2010,Spring,VL1750WP,5,7221,4,West Philadelphia,,315,3,Jannie L. Blackwell,709-717 N 39TH STREET,19104,1396.18249511719,197.491019640449
1052,5330003724,3724 MANTUA AVE,REDEVELOPMENT AUTHORITY,OF PHILA,SR,VAC LAND RES < ACRE,243005600,1381,2002,Spring,VL0079,40,58446,30,West Philadelphia,,303,3,Jannie L. Blackwell,"3701-3737 BROWN STREET; 3700-3706, 
3720-3726 MANTUA AVENUE; 811-813 N 38TH STR*",19104,1381.06024169922,229.219333532469
1053,6794006086,6086 REINHARD ST,FRATER IAN LLOYD TR, ,SC,VAC LAND RES < ACRE,401282900,1307,2006,Fall,VL0957SP,9,11787,7,Southwest Philadelphia,,354,2,Kenyatta Johnson,"6078-6086 REINHARD STREET; 6079-6085 UPLAND STREET",19142,1307.24884033203,164.346082506289
1054,8104003618,3618 WALLACE ST,PHILA REDEVELOPMENT AUTH, ,SR,VAC LAND RES < ACRE,242086510,1530,2016,Spring,VL0985WP_CLP_R,25,20416,0,WEST PHILADELPHIA,,315,3,Jannie L. Blackwell,"627-643 N 37TH ST; 3610-3626 WALLACE ST; 3611-27 MOUNT VERNON ST",19104,1574.5166015625,216.019788317222
1055,6770001917,1917 S REDFIELD ST,CLARK MAURICE J,BREDNA D H/W,SR,VAC LAND RES < ACRE,401061400,868,2013,Fall,VL2626SW,4,5504,4,Southwest Philadelphia,,346,2,Kenyatta Johnson,1915-1921 S REDFIELD STREET,19143,859.260192871094,152.000876544002
1056,2768000753,753 N DE KALB ST,REDEVELOPMENT AUTHORITY,OF PHILA,SR,VAC LAND RES < ACRE,243088110,1074,2016,Spring,VL3304WP_CLP,9,6660,0,WEST PHILADELPHIA,,303,3,Jannie L. Blackwell,"3712-14 BROWN ST; 749-57 N DE KALB ST",19104,1085.48291015625,179.145364407222
1057,1380003916,3916 ASPEN ST,LANE FANNIE, ,SR,VAC LAND RES < ACRE,243038800,1440,2016,Spring,VL3306WP_CLP,12,18515,0,WEST PHILADELPHIA,,315,3,Jannie L. Blackwell,3908-26 ASPEN ST,19104,1466.73645019531,214.275272607705
1058,8852000643,643 N 37TH ST,PHILA REDEVELOPMENT AUTH, ,S30,VAC LAND COMM. < ACRE,242177100,1154,2016,Spring,VL0985WP_CLP_R,25,20416,0,WEST PHILADELPHIA,,315,3,Jannie L. Blackwell,"627-643 N 37TH ST; 3610-3626 WALLACE ST; 3611-27 MOUNT VERNON ST",19104,1154.02880859375,185.166664960627
1059,8904002020,2020 S 61ST ST,JEREMIAH P GLAVIN,GRACE,SR,VAC LAND RES < ACRE,401146600,925,2002,Spring,VL0059WP,18,14640,15,Southwest Philadelphia,,354,2,Kenyatta Johnson,"6111-6115, 6127-6135, 6132-6146 REINHARD STREET; 
2018-2020 S 61ST STREET",19142,937.338073730469,149.783664794682
1060,8896001620,1620 S 57TH ST,YEASMIN MAFUZA, ,SR,VAC LAND COMM. < ACRE,513148600,1296,2010,Spring,VL1685SW,2,4320,5,Southwest Philadelphia,,346,3,Jannie L. Blackwell,1620-1624 S 57TH STREET,19143,1296.5185546875,217.493321471711
1061,6786006026,6026 REGENT ST,PHILADELPHIA LAND ACQUISI, ,SR,VAC LAND RES < ACRE,401235300,912,2007,Fall,VL1232SP,1,945,0,Southwest Philadelphia,,354,2,Kenyatta Johnson,6026 REGENT STREET,19142,895.299865722656,145.843068841397
1062,8856000837,837 N 39TH ST,CYNCON INC, ,O30,ROW 2 STY MASONRY,243151600,1057,2014,Spring,VL2725WP,2,2175,0,West Philadelphia,,303,3,Jannie L. Blackwell,837-839 N 39th Street,19104,1082.60845947266,171.090243760281
1063,3458003914,3914 FOLSOM ST,REDEVELOPMENT AUTHORITY,OF PHILADELPHIA,SR,VAC LAND RES < ACRE,243055210,962,2007,Fall,VL1275WP_R,8,7632,0,West Philadelphia,,315,3,Jannie L. Blackwell,3900-3914 FOLSOM STREET,19104,962.7099609375,158.317820299652
1064,8350005843,5843 WILLOWS AVE,CITY OF PHILA,DEPT OF PUBLC PROP,SR,VAC LAND RES < ACRE,034057110,1840,2015,Fall,VL3125SW_CLP,1,4110,0,SOUTHWEST,,346,3,Jannie L. Blackwell,5843 WILLOWS AVE,19143,1786.48809814453,258.495428440189
1065,1940003727,3727 BROWN ST,REDEVELOPMENT AUTHORITY,OF PHILA,SR,VAC LAND RES < ACRE,243117700,1383,2002,Spring,VL0079,40,58446,30,West Philadelphia,,303,3,Jannie L. Blackwell,"3701-3737 BROWN STREET; 3700-3706, 
3720-3726 MANTUA AVENUE; 811-813 N 38TH STR*",19104,1436.28216552734,208.645510297356
1066,8904002050,2050 S 61ST ST,JAMES W EDEN JR,KATHLEEN E,SR,VAC LAND RES < ACRE,401148100,1268,2007,Fall,VL1258SP,1,1547,0,Southwest Philadelphia,,354,2,Kenyatta Johnson,2050 S 61ST STREET,19142,1297.64703369141,190.984969423545
1067,1380003920,3920 ASPEN ST,FLUITT MABEL, ,SR,VAC LAND RES < ACRE,243039000,1440,2016,Spring,VL3306WP_CLP,12,18515,0,WEST PHILADELPHIA,,315,3,Jannie L. Blackwell,3908-26 ASPEN ST,19104,1440.77465820313,213.599655623015
1068,8104003620,3620 WALLACE ST,PHILA REDEVELOPMENT AUTH, ,SR,VAC LAND RES < ACRE,242086600,1692,2016,Spring,VL0985WP_CLP_R,25,20416,0,WEST PHILADELPHIA,,315,3,Jannie L. Blackwell,"627-643 N 37TH ST; 3610-3626 WALLACE ST; 3611-27 MOUNT VERNON ST",19104,1692.95916748047,224.458532038726
1069,8898001814,1814 S 58TH ST,PHILLY GROUP LLC, ,SC,VAC LAND COMM. < ACRE,401054700,1264,2007,Fall,VL1218SP,5,5508,3,Southwest Philadelphia,,346,2,Kenyatta Johnson,1812-1820 S 58TH STREET,19143,1235.35302734375,188.087191829846
1070,3328003912,3912 FAIRMOUNT AVE,SMIAROWSKI JAN, ,SR,VAC LAND RES < ACRE,242226300,1456,2012,Fall,VL2111WP-F,4,5760,2,West Philadelphia,,315,3,Jannie L. Blackwell,3908-3914 FAIRMOUNT AVENUE,19104,1417.35211181641,213.394556017646
1071,8856000676,676 N 39TH ST,INVESTSMART INC, ,SR,VAC LAND RES < ACRE,242232500,1485,2010,Spring,VL1748WP,2,2724,3,West Philadelphia,,315,3,Jannie L. Blackwell,672-676 N 39TH STREET,19104,1516.27954101563,202.12469944966
1072,8898001736,1736 S 58TH ST,THOMAS T MC RAE,CORA B,SR,VAC LAND RES < ACRE,034128700,1208,2007,Fall,VL1220SP,3,3864,4,Southwest Philadelphia,,346,3,Jannie L. Blackwell,1734-1738 S 58TH STREET,19143,1223.59387207031,183.709035741254
1073,7896006005,6005 UPLAND ST,DUDLEY CHARLES W,DUDLEY MINNIE,SR,VAC LAND RES < ACRE,401286900,960,2006,Fall,VL0970SP,4,3814,1,Southwest Philadelphia,,354,2,Kenyatta Johnson,"6002 REINHARD STREET; 6003-6007 UPLAND STREET",19142,937.051391601563,151.0898696405
1074,4124003710,3710 HAVERFORD AVE,CITY OF PHILA,DEPT OF PUBLIC PROP,SR,VAC LAND RES < ACRE,242038010,693,2004,Spring,VL0432WP,5,14300,3,West Philadelphia,,315,3,Jannie L. Blackwell,3710-3720 HAVERFORD AVENUE,19104,693.650085449219,128.703393765154
1075,6794006056,6056 REINHARD ST,RAYMOND LEROY, ,O30,VAC LAND RES < ACRE,401281400,930,2006,Fall,VL0962SP,5,5042,3,Southwest Philadelphia,,354,2,Kenyatta Johnson,"6052-6056 REINHARD STREET; 6053-6055 UPLAND STREET",19142,970.464477539063,153.245520434766
1076,3328003605,3605 FAIRMOUNT AVE,OLIVER AMINA, ,SR,VAC LAND RES < ACRE,243008900,1600,2012,Fall,VL2108WP-F,1,1680,0,West Philadelphia,,315,3,Jannie L. Blackwell,3605 FAIRMOUNT AVENUE,19104,1591.97747802734,199.638403435773
1077,6794006126,6126 REINHARD ST,LEATHERBARRY DEVIN, ,SR,VAC LAND RES < ACRE,401284000,868,2002,Spring,VL0059WP,18,14640,15,Southwest Philadelphia,,354,2,Kenyatta Johnson,"6111-6115, 6127-6135, 6132-6146 REINHARD STREET; 
2018-2020 S 61ST STREET",19142,846.543701171875,151.78915363675
1078,7896006016,6016 UPLAND ST,PETER J AMADIO, ,SR,VAC LAND RES < ACRE,401298700,841,2006,Fall,VL0971SP,2,1736,1,Southwest Philadelphia,,354,2,Kenyatta Johnson,6016-6018 UPLAND STREET,19142,862.527282714844,146.760355676421
1079,7896006018,6018 UPLAND ST,GAITHER LORETTA J, ,SR,VAC LAND RES < ACRE,401298800,841,2006,Fall,VL0971SP,2,1736,1,Southwest Philadelphia,,354,2,Kenyatta Johnson,6016-6018 UPLAND STREET,19142,817.956298828125,145.45240703288
1080,8852000641,641 N 37TH ST,PHILA REDEVELOPMENT AUTH, ,H30,SEMI DET 2 STY MASONRY,242177000,1347,2016,Spring,VL0985WP_CLP_R,25,20416,0,WEST PHILADELPHIA,,315,3,Jannie L. Blackwell,"627-643 N 37TH ST; 3610-3626 WALLACE ST; 3611-27 MOUNT VERNON ST",19104,1340.06066894531,190.392585324944
1081,1940003720,3720 BROWN ST,REDEVELOPMENT AUTHORITY,OF PHILA,SR,VAC LAND RES < ACRE,243063900,1013,2006,Spring,VL0849WP,14,19507,12,West Philadelphia,,303,3,Jannie L. Blackwell,"777-785 N 38TH STREET; 770-774 N DEKALB STREET; 
3716-3726 BROWN STREET",19104,1000.67572021484,165.108889218771
1082,6794006143,6143 REINHARD ST,PAYTON JOAN, ,SR,VAC LAND RES < ACRE,401276800,910,2006,Fall,VL0954SP,2,1779,1,Southwest Philadelphia,,354,2,Kenyatta Johnson,6141-6143 REINHARD STREET,19142,944.3291015625,157.950097041506
1083,1380003940,3940 ASPEN ST,REDEVELOPMENT AUTHORITY,OF PHILADELPHIA,SR,VAC LAND RES < ACRE,243040010,1496,2007,Fall,VL1269WP,2,3250,2,West Philadelphia,,315,3,Jannie L. Blackwell,3940-3942 ASPEN STREET,19104,1523.82153320313,222.055319152865
1084,7896006144,6144 UPLAND ST,WYNDER DANA,WYNDER JEAN,SR,VAC LAND RES < ACRE,401304500,868,2007,Fall,VL1248SP,1,858,0,Southwest Philadelphia,,354,2,Kenyatta Johnson,6144 UPLAND STREET,19142,873.035583496094,152.414714728188
1085,7896006109,6109 UPLAND ST,BROOKS VIVIAN B,BROOKS LARRY E,SR,VAC LAND RES < ACRE,401291200,992,2007,Fall,VL1243SP,2,4214,4,Southwest Philadelphia,,354,2,Kenyatta Johnson,"2032-2034 S 61ST STREET; 6109 UPLAND STREET",19142,999.549011230469,157.135476123172
